N°,Cheval,S/A,Gain,Dernières performances
1,MIRALAGO,7,218655,4 1 10 4 10 1 7  2 4 1 10 3
2,CALIGRAMME,6,129080,5 10 1 10 2 2 10  1 1 4 1  2
3,GALLOX,9,175713,8 7 1  10 6 1 3 3 2 10 6 7
4,DOCTOR KALEO,10,248131,2 4  10 1 2 5 1  6 2 7 6 (2
5,ECOUTE EN TETE,11,288020,1 8 2 8 4 7 3 8 4  6 4 7
6,GAI LURON,,,
7,GRAND CLERMONT,9,160470,3 1 3 10 4 9 10 3 1  5 2 10
8,INSIDE MONTLIOUX,8,270133,1 5 10 5 2 1 3 10 1 8  10 10
9,JINGLE DENUO,6,95010,6 1 9 7 6 3 2 10 4 3  6 10
10,KRAKEN,5,12870,2 4 10 2 10
11,L'ARRABIATO,6,68540,6 8 3 3 6 1 1 1  4 5 2 7
12,HUPECA DE THAIX,8,222549,2 10 2 3 3 1 4 2 2  5 9 1
13,ALWAYS LOVE YOU,8,176315,4 7 3 6 1 2 5  3 8 5 1 2
14,JOUE CONTRE JOUE,6,90470,5 5 4 10 1 10  1 2 10 8 2
15,GALOP DU LARGE,9,137253,8 5 4 5 3  8 3 4 7 6 1  1
16,HURRICK DES OBEAUX,8,268685,3 3 5 10 10 4 3  5 4 2 5 4
